,time,cpu%,mem%
98,20210108-095044,0.0,0.6928991606564696
99,20210108-095047,0.0,0.6928991606564696
100,20210108-095050,0.0,0.6928991606564696
101,20210108-095053,0.25,0.7364547308412123
102,20210108-095056,0.0,0.7364547308412123
103,20210108-095059,0.0,0.7364547308412123
104,20210108-095102,0.0,0.7364547308412123
105,20210108-095105,0.0,0.7364547308412123
106,20210108-095108,0.0,0.7364547308412123
107,20210108-095111,0.0,0.7364547308412123
108,20210108-095114,0.0,0.7364547308412123
109,20210108-095117,0.0,0.7364547308412123
110,20210108-095120,0.0,0.7364547308412123
111,20210108-095123,0.0,0.7364547308412123
112,20210108-095126,0.0,0.7364547308412123
113,20210108-095129,0.0,0.7364547308412123
114,20210108-095132,0.0,0.7364547308412123
115,20210108-095135,0.0,0.7364547308412123
116,20210108-095138,0.0,0.7364547308412123
117,20210108-095141,0.0,0.7364547308412123
118,20210108-095144,0.0,0.7364547308412123
119,20210108-095147,0.015,0.7364547308412123
120,20210108-095150,0.0,0.7364547308412123
121,20210108-095153,0.0,0.7364547308412123
122,20210108-095156,0.0,0.7364547308412123
123,20210108-095159,0.0,0.7364547308412123
124,20210108-095202,0.0,0.7364547308412123
125,20210108-095205,0.0,0.7364547308412123
126,20210108-095208,0.0,0.7364547308412123
127,20210108-095211,0.0,0.7364547308412123
128,20210108-095214,0.0,0.7364547308412123
129,20210108-095217,0.0,0.7364547308412123
130,20210108-095220,0.0,0.7364547308412123
131,20210108-095223,0.0,0.7364547308412123
132,20210108-095226,0.0,0.7364547308412123
133,20210108-095229,0.0,0.7364547308412123
134,20210108-095232,0.0,0.7364547308412123
135,20210108-095235,0.0,0.7364547308412123
136,20210108-095238,0.0,0.7364547308412123
137,20210108-095241,0.0,0.7364547308412123
138,20210108-095244,0.0,0.7364547308412123
139,20210108-095247,0.0,0.7364547308412123
140,20210108-095250,0.0,0.7364547308412123
141,20210108-095253,0.0,0.7364547308412123
142,20210108-095256,0.0,0.7364547308412123
143,20210108-095259,0.015,0.7364547308412123
144,20210108-095302,0.0,0.7364547308412123
145,20210108-095305,0.0,0.7364547308412123
146,20210108-095308,0.0,0.7364547308412123
147,20210108-095311,0.0,0.7364547308412123
148,20210108-095314,0.0,0.7364547308412123
149,20210108-095317,0.0,0.7364547308412123
150,20210108-095320,0.0,0.7364547308412123
151,20210108-095323,0.0,0.7364547308412123
152,20210108-095326,0.0,0.7364547308412123
153,20210108-095329,0.0,0.7364547308412123
154,20210108-095332,0.0,0.7364547308412123
155,20210108-095335,0.0,0.7364547308412123
156,20210108-095338,0.0,0.7364547308412123
157,20210108-095341,1.7,0.8777431218546026
158,20210108-095344,1.2,0.7984661540364724
159,20210108-095347,0.015,0.7984661540364724
160,20210108-095350,0.0,0.7984661540364724
161,20210108-095353,0.0,0.7984661540364724
162,20210108-095356,0.0,0.7984661540364724
163,20210108-095359,0.0,0.7984722270384502
164,20210108-095402,0.0,0.7984722270384502
165,20210108-095405,0.0,0.7984722270384502
166,20210108-095408,0.0,0.7984722270384502
167,20210108-095411,0.015,0.7984722270384502
168,20210108-095414,0.0,0.7984722270384502
169,20210108-095417,0.0,0.7984722270384502
170,20210108-095420,0.0,0.7984722270384502
171,20210108-095423,0.0,0.7984722270384502
172,20210108-095426,0.0,0.7984722270384502
173,20210108-095429,0.0,0.7984722270384502
174,20210108-095432,0.0,0.7984722270384502
175,20210108-095435,0.0,0.7984722270384502
176,20210108-095438,0.0,0.7984722270384502
177,20210108-095441,0.0,0.7984722270384502
178,20210108-095444,0.0,0.7984722270384502
179,20210108-095447,0.0,0.7984722270384502
180,20210108-095450,0.0,0.7984722270384502
181,20210108-095453,0.0,0.7984722270384502
182,20210108-095456,0.0,0.7984722270384502
183,20210108-095459,0.3,0.8555584456297189
184,20210108-095502,0.0,0.8555584456297189
185,20210108-095505,0.0,0.8555584456297189
186,20210108-095508,0.0,0.8555584456297189
187,20210108-095511,0.0,0.8555584456297189
188,20210108-095514,0.0,0.8555584456297189
189,20210108-095517,0.0,0.8555584456297189
190,20210108-095520,0.0,0.8555584456297189
191,20210108-095523,0.0,0.8555584456297189
192,20210108-095526,0.0,0.8555584456297189
193,20210108-095529,0.0,0.8555584456297189
194,20210108-095532,0.0,0.8555584456297189
195,20210108-095535,0.0,0.8555584456297189
196,20210108-095538,0.0,0.8555584456297189
197,20210108-095541,0.0,0.8555584456297189
198,20210108-095544,0.0,0.8555584456297189
199,20210108-095547,0.0,0.8555584456297189
200,20210108-095550,0.0,0.8555584456297189
201,20210108-095553,0.0,0.8555584456297189
202,20210108-095556,0.0,0.8555584456297189
203,20210108-095559,0.0,0.8555584456297189
204,20210108-095602,0.0,0.8555584456297189
205,20210108-095605,0.015,0.8555584456297189
206,20210108-095608,0.0,0.8555584456297189
207,20210108-095611,0.0,0.8555584456297189
208,20210108-095614,0.0,0.8555584456297189
209,20210108-095617,0.0,0.8555584456297189
210,20210108-095620,0.0,0.8555584456297189
211,20210108-095623,0.0,0.8555584456297189
212,20210108-095626,0.0,0.8555584456297189
213,20210108-095629,0.0,0.8555584456297189
214,20210108-095632,0.0,0.8555584456297189
215,20210108-095635,0.0,0.8555584456297189
216,20210108-095638,0.0,0.8555584456297189
217,20210108-095641,0.0,0.8555584456297189
218,20210108-095644,0.0,0.8555584456297189
219,20210108-095647,0.0,0.8555584456297189
220,20210108-095650,0.0,0.8555584456297189
221,20210108-095653,0.0,0.8555584456297189
222,20210108-095656,0.0,0.8555584456297189
223,20210108-095659,0.0,0.8555584456297189
224,20210108-095702,0.0,0.8555584456297189
225,20210108-095705,0.0,0.8555584456297189
226,20210108-095708,0.0,0.8555584456297189
227,20210108-095711,0.0,0.8555584456297189
228,20210108-095714,0.0,0.8555584456297189
229,20210108-095717,0.0,0.8555584456297189
230,20210108-095720,0.015,0.8555584456297189
231,20210108-095723,1.4,0.9705568110812368
232,20210108-095726,1.285,0.8241792444104546
233,20210108-095729,0.0,0.8241792444104546
234,20210108-095732,0.0,0.8241792444104546
235,20210108-095735,0.0,0.8241792444104546
236,20210108-095738,0.0,0.8241792444104546
237,20210108-095741,0.034999999999999996,0.8241792444104546
238,20210108-095744,0.0,0.8241792444104546
239,20210108-095747,0.0,0.8241792444104546
240,20210108-095750,0.015,0.8241792444104546
241,20210108-095753,0.0,0.8241792444104546
242,20210108-095756,0.0,0.8241792444104546
243,20210108-095759,0.0,0.8241792444104546
244,20210108-095802,0.0,0.8241792444104546
245,20210108-095805,0.0,0.8241792444104546
246,20210108-095808,0.0,0.8241792444104546
247,20210108-095811,0.0,0.8241792444104546
248,20210108-095814,0.0,0.8241792444104546
249,20210108-095817,0.0,0.8241792444104546
250,20210108-095820,0.0,0.8241792444104546
251,20210108-095823,0.0,0.8241792444104546
252,20210108-095826,0.0,0.8241792444104546
253,20210108-095829,0.23500000000000001,0.585437390659395
254,20210108-095832,0.0,0.585437390659395
255,20210108-095835,0.015,0.585437390659395
256,20210108-095838,0.0,0.585437390659395
257,20210108-095841,0.16499999999999998,0.5916865096945456
258,20210108-095844,0.0,0.5916865096945456
259,20210108-095847,0.015,0.5916865096945456
260,20210108-095850,0.0,0.5916865096945456
261,20210108-095853,0.0,0.5916865096945456
262,20210108-095856,0.015,0.5917168747044346
263,20210108-095859,0.015,0.5917168747044346
264,20210108-095902,0.015,0.5917168747044346
265,20210108-095905,0.0,0.5917168747044346
266,20210108-095908,0.0,0.5917168747044346
267,20210108-095911,0.0,0.5917168747044346
268,20210108-095914,0.015,0.5917168747044346
269,20210108-095917,0.0,0.5917168747044346
