,state01,state02,state03,state04,state05,state_p
564,3,3,3,3,3,3
565,3,3,3,3,3,4
566,3,3,3,3,4,3
567,3,3,3,4,3,0
568,3,3,4,3,0,3
569,3,4,3,0,3,3
570,4,3,0,3,3,4
571,3,0,3,3,4,4
572,0,3,3,4,4,3
573,3,3,4,4,3,3
574,3,4,4,3,3,3
575,4,4,3,3,3,3
576,4,3,3,3,3,3
577,3,3,3,3,3,3
578,3,3,3,3,3,4
579,3,3,3,3,4,3
580,3,3,3,4,3,3
581,3,3,4,3,3,4
582,3,4,3,3,4,4
583,4,3,3,4,4,3
584,3,3,4,4,3,3
585,3,4,4,3,3,4
586,4,4,3,3,4,4
587,4,3,3,4,4,4
588,3,3,4,4,4,3
589,3,4,4,4,3,3
590,4,4,4,3,3,3
591,4,4,3,3,3,3
592,4,3,3,3,3,4
593,3,3,3,3,4,3
594,3,3,3,4,3,4
595,3,3,4,3,4,4
596,3,4,3,4,4,4
597,4,3,4,4,4,4
598,3,4,4,4,4,3
599,4,4,4,4,3,3
600,4,4,4,3,3,3
601,4,4,3,3,3,3
602,4,3,3,3,3,4
603,3,3,3,3,4,4
604,3,3,3,4,4,3
605,3,3,4,4,3,4
606,3,4,4,3,4,3
607,4,4,3,4,3,4
608,4,3,4,3,4,3
609,3,4,3,4,3,4
610,4,3,4,3,4,4
611,3,4,3,4,4,3
612,4,3,4,4,3,4
613,3,4,4,3,4,4
614,4,4,3,4,4,3
615,4,3,4,4,3,3
616,3,4,4,3,3,3
617,4,4,3,3,3,3
618,4,3,3,3,3,4
619,3,3,3,3,4,3
620,3,3,3,4,3,4
621,3,3,4,3,4,4
622,3,4,3,4,4,4
623,4,3,4,4,4,4
624,3,4,4,4,4,3
625,4,4,4,4,3,3
626,4,4,4,3,3,3
627,4,4,3,3,3,3
628,4,3,3,3,3,4
629,3,3,3,3,4,4
630,3,3,3,4,4,0
631,3,3,4,4,0,0
632,3,4,4,0,0,0
633,4,4,0,0,0,0
634,4,0,0,0,0,0
635,0,0,0,0,0,0
636,0,0,0,0,0,0
637,0,0,0,0,0,0
638,0,0,0,0,0,0
639,0,0,0,0,0,0
640,0,0,0,0,0,0
641,0,0,0,0,0,0
642,0,0,0,0,0,0
643,0,0,0,0,0,0
644,0,0,0,0,0,0
645,0,0,0,0,0,0
646,0,0,0,0,0,0
647,0,0,0,0,0,0
648,0,0,0,0,0,0
649,0,0,0,0,0,0
650,0,0,0,0,0,0
651,0,0,0,0,0,0
652,0,0,0,0,0,0
653,0,0,0,0,0,0
654,0,0,0,0,0,0
655,0,0,0,0,0,0
656,0,0,0,0,0,0
657,0,0,0,0,0,0
658,0,0,0,0,0,0
659,0,0,0,0,0,0
660,0,0,0,0,0,0
661,0,0,0,0,0,0
662,0,0,0,0,0,0
663,0,0,0,0,0,0
664,0,0,0,0,0,0
665,0,0,0,0,0,0
666,0,0,0,0,0,0
667,0,0,0,0,0,0
668,0,0,0,0,0,0
669,0,0,0,0,0,0
670,0,0,0,0,0,0
671,0,0,0,0,0,0
672,0,0,0,0,0,0
673,0,0,0,0,0,0
674,0,0,0,0,0,0
675,0,0,0,0,0,0
676,0,0,0,0,0,0
677,0,0,0,0,0,0
678,0,0,0,0,0,0
679,0,0,0,0,0,0
680,0,0,0,0,0,0
681,0,0,0,0,0,0
682,0,0,0,0,0,0
683,0,0,0,0,0,0
684,0,0,0,0,0,0
685,0,0,0,0,0,0
686,0,0,0,0,0,0
687,0,0,0,0,0,0
688,0,0,0,0,0,0
689,0,0,0,0,0,0
690,0,0,0,0,0,0
691,0,0,0,0,0,0
692,0,0,0,0,0,0
693,0,0,0,0,0,0
694,0,0,0,0,0,1
695,0,0,0,0,1,0
696,0,0,0,1,0,0
697,0,0,1,0,0,0
698,0,1,0,0,0,0
699,1,0,0,0,0,0
700,0,0,0,0,0,1
701,0,0,0,0,1,0
702,0,0,0,1,0,0
703,0,0,1,0,0,0
704,0,1,0,0,0,0
705,1,0,0,0,0,0
706,0,0,0,0,0,1
707,0,0,0,0,1,1
708,0,0,0,1,1,0
709,0,0,1,1,0,0
710,0,1,1,0,0,0
711,1,1,0,0,0,0
712,1,0,0,0,0,0
713,0,0,0,0,0,0
714,0,0,0,0,0,0
715,0,0,0,0,0,0
716,0,0,0,0,0,0
717,0,0,0,0,0,0
718,0,0,0,0,0,1
719,0,0,0,0,1,0
720,0,0,0,1,0,1
721,0,0,1,0,1,1
722,0,1,0,1,1,0
723,1,0,1,1,0,0
724,0,1,1,0,0,0
725,1,1,0,0,0,0
726,1,0,0,0,0,0
727,0,0,0,0,0,0
728,0,0,0,0,0,0
729,0,0,0,0,0,0
730,0,0,0,0,0,0
731,0,0,0,0,0,0
732,0,0,0,0,0,0
733,0,0,0,0,0,0
734,0,0,0,0,0,0
735,0,0,0,0,0,0
736,0,0,0,0,0,0
737,0,0,0,0,0,0
738,0,0,0,0,0,0
739,0,0,0,0,0,0
740,0,0,0,0,0,1
741,0,0,0,0,1,0
742,0,0,0,1,0,0
743,0,0,1,0,0,0
744,0,1,0,0,0,0
745,1,0,0,0,0,1
746,0,0,0,0,1,0
747,0,0,0,1,0,0
748,0,0,1,0,0,0
749,0,1,0,0,0,0
750,1,0,0,0,0,0
751,0,0,0,0,0,0
752,0,0,0,0,0,0
753,0,0,0,0,0,0
754,0,0,0,0,0,0
755,0,0,0,0,0,0
756,0,0,0,0,0,0
757,0,0,0,0,0,0
758,0,0,0,0,0,0
759,0,0,0,0,0,1
760,0,0,0,0,1,1
761,0,0,0,1,1,0
762,0,0,1,1,0,1
763,0,1,1,0,1,0
764,1,1,0,1,0,0
765,1,0,1,0,0,0
766,0,1,0,0,0,1
767,1,0,0,0,1,0
768,0,0,0,1,0,1
769,0,0,1,0,1,0
770,0,1,0,1,0,0
771,1,0,1,0,0,0
772,0,1,0,0,0,1
773,1,0,0,0,1,0
774,0,0,0,1,0,0
775,0,0,1,0,0,0
776,0,1,0,0,0,0
777,1,0,0,0,0,0
778,0,0,0,0,0,0
779,0,0,0,0,0,0
780,0,0,0,0,0,0
781,0,0,0,0,0,0
782,0,0,0,0,0,0
783,0,0,0,0,0,0
784,0,0,0,0,0,0
785,0,0,0,0,0,0
786,0,0,0,0,0,1
787,0,0,0,0,1,0
788,0,0,0,1,0,1
789,0,0,1,0,1,0
790,0,1,0,1,0,0
791,1,0,1,0,0,0
792,0,1,0,0,0,0
793,1,0,0,0,0,0
794,0,0,0,0,0,0
795,0,0,0,0,0,0
796,0,0,0,0,0,0
797,0,0,0,0,0,0
798,0,0,0,0,0,0
799,0,0,0,0,0,1
800,0,0,0,0,1,0
801,0,0,0,1,0,0
802,0,0,1,0,0,0
803,0,1,0,0,0,1
804,1,0,0,0,1,0
805,0,0,0,1,0,0
806,0,0,1,0,0,0
807,0,1,0,0,0,0
808,1,0,0,0,0,1
809,0,0,0,0,1,0
810,0,0,0,1,0,0
811,0,0,1,0,0,0
812,0,1,0,0,0,0
813,1,0,0,0,0,0
814,0,0,0,0,0,0
815,0,0,0,0,0,0
816,0,0,0,0,0,0
817,0,0,0,0,0,0
818,0,0,0,0,0,0
819,0,0,0,0,0,1
820,0,0,0,0,1,0
821,0,0,0,1,0,0
822,0,0,1,0,0,0
823,0,1,0,0,0,0
824,1,0,0,0,0,0
825,0,0,0,0,0,0
826,0,0,0,0,0,0
827,0,0,0,0,0,0
828,0,0,0,0,0,1
829,0,0,0,0,1,0
830,0,0,0,1,0,0
831,0,0,1,0,0,0
832,0,1,0,0,0,0
833,1,0,0,0,0,0
834,0,0,0,0,0,0
835,0,0,0,0,0,0
836,0,0,0,0,0,0
837,0,0,0,0,0,0
838,0,0,0,0,0,0
839,0,0,0,0,0,0
840,0,0,0,0,0,0
841,0,0,0,0,0,0
842,0,0,0,0,0,0
843,0,0,0,0,0,0
