,requests
2045,1025550
2046,955050
2047,945150
2048,886950
2049,978750
2050,1000950
2051,934800
2052,896850
2053,865500
2054,858000
2055,866400
2056,754800
2057,855750
2058,802950
2059,782850
2060,776100
2061,895650
2062,994500
2063,880500
2064,983550
2065,880350
2066,932400
2067,915450
2068,792750
2069,870900
2070,774900
2071,770100
2072,774900
2073,785550
2074,881850
2075,837300
2076,794700
2077,850950
2078,786900
2079,842550
2080,801750
2081,765750
2082,906900
2083,859350
2084,883950
2085,947100
2086,1029600
2087,942000
2088,893100
2089,933300
2090,921150
2091,941400
2092,871350
2093,785250
2094,906900
2095,1015800
2096,889500
2097,920100
2098,960900
2099,819000
2100,818850
2101,781800
2102,741150
2103,807600
2104,736500
2105,769950
2106,807600
2107,795600
2108,800850
2109,743550
2110,841650
2111,822000
2112,925050
2113,830850
2114,769950
2115,732450
2116,786300
2117,812100
2118,771600
2119,802350
2120,773850
2121,707700
2122,852150
2123,726150
2124,850650
2125,759900
2126,760650
2127,829350
2128,801000
2129,824850
2130,759300
2131,768450
2132,889200
2133,820350
2134,864450
2135,807000
2136,854850
2137,731250
2138,693900
2139,680700
2140,698550
2141,669150
2142,420750
2143,540450
2144,612000
2145,824850
2146,787500
2147,709200
2148,786750
2149,617100
2150,689400
2151,624450
2152,613650
2153,668400
2154,674700
2155,766500
2156,493050
2157,911700
2158,907800
2159,755700
2160,849750
2161,804300
2162,726000
2163,721800
2164,774450
2165,827700
2166,732150
2167,756000
2168,778950
2169,864450
2170,852900
2171,970650
2172,891750
2173,922650
2174,849600
2175,1085700
2176,994350
2177,977700
2178,945450
2179,911250
2180,888300
2181,983700
2182,956850
2183,936600
2184,937800
2185,948900
2186,845100
2187,814950
2188,850950
2189,918900
2190,924450
2191,1005600
2192,907500
2193,882900
2194,831450
2195,844500
2196,865050
2197,827700
2198,851400
2199,822450
2200,869250
2201,875250
2202,849300
2203,886050
2204,910650
2205,861150
2206,917850
2207,935250
2208,926100
2209,951600
2210,889950
2211,949500
2212,990150
2213,998850
2214,961350
2215,944850
2216,909150
2217,970500
2218,1005750
2219,926400
2220,921900
2221,880200
2222,807600
2223,811350
2224,863100
2225,843000
2226,818400
2227,800100
2228,824850
2229,829200
2230,858750
2231,844350
2232,865800
2233,914100
2234,836400
2235,777150
2236,755400
2237,811800
2238,724350
2239,738300
2240,767250
