,requests
1077,929700
1078,582300
1079,967050
1080,766350
1081,998775
1082,578700
1083,869625
1084,490500
1085,670050
1086,317700
1087,535500
1088,658350
1089,339750
1090,997425
1091,1109700
1092,1088325
1093,1258650
1094,1188675
1095,1102275
1096,1056150
1097,661950
1098,837000
1099,734175
1100,436950
1101,968175
1102,991125
1103,953550
1104,912825
1105,1048725
1106,1003950
1107,803025
1108,357300
1109,338175
1110,878625
1111,1063800
1112,740700
1113,916200
1114,604350
1115,734400
1116,815625
1117,719100
1118,430200
1119,297225
1120,730575
1121,91800
1122,568800
1123,191700
1124,61425
1125,720000
1126,1020825
1127,1300950
1128,1299825
1129,1095075
1130,1217700
1131,1179900
1132,1150875
1133,1331325
1134,1308375
1135,1393875
1136,1330425
1137,1381500
1138,1433475
1139,1199475
1140,1290600
1141,1243125
1142,1489500
1143,1508175
1144,1504350
1145,1514250
1146,1372725
1147,1525725
1148,1382625
1149,1334475
1150,1486350
1151,1415475
1152,1338300
1153,1282950
1154,1296225
1155,1545300
1156,1688850
1157,1818000
1158,1790550
1159,1574100
1160,1680975
1161,1586475
1162,1606500
1163,1549350
1164,1530225
1165,1611675
1166,1595475
1167,1590300
1168,1603575
1169,1610100
1170,1590750
1171,1564875
1172,1558575
1173,1546875
1174,1571850
1175,1444275
1176,1498275
1177,1524600
1178,1547325
1179,1591650
1180,1578150
1181,1554975
1182,1565100
1183,1529100
1184,1507950
1185,1566000
1186,1542825
1187,1550700
1188,1521225
1189,1408950
1190,1491300
1191,1508850
1192,1494225
1193,1568250
1194,1509300
1195,1535400
1196,1444500
1197,1455300
1198,1521675
1199,1389150
1200,1482750
1201,1481625
1202,1440225
1203,1515375
1204,1405800
1205,1312875
1206,1450125
1207,1511100
1208,1439100
1209,1546200
1210,1440225
1211,1443375
1212,1407375
1213,1385550
1214,1395900
1215,1358775
1216,1353375
1217,1261350
1218,1325250
1219,1271700
1220,1231875
1221,1208700
1222,1387575
1223,1312875
1224,1361925
1225,1444275
1226,1385775
1227,1433250
1228,1385550
1229,1532025
1230,1473300
1231,1286775
1232,1222650
1233,1226250
1234,1364400
1235,1334025
1236,1309725
1237,1284300
1238,1319850
1239,1217925
1240,1212975
1241,1208025
1242,1233900
1243,1156500
1244,1059525
1245,1030500
1246,1210950
1247,1247175
1248,1314675
1249,1371600
1250,1355625
1251,1288575
1252,1309500
1253,1279125
1254,1276875
1255,1244700
1256,1335600
1257,1401525
1258,1428075
1259,1453725
1260,1347300
1261,1360800
1262,1388250
1263,1345725
1264,1306350
1265,1290375
1266,1254825
1267,1314225
1268,1316475
1269,1163025
1270,1197675
1271,1120500
1272,1117575
1273,1147950
1274,1080900
1275,1049175
1276,1050525
1277,1038600
1278,971100
1279,1061325
1280,744075
1281,544725
1282,975150
1283,674550
1284,920025
1285,666675
1286,241650
1287,806850
1288,380475
1289,405000
1290,107325
1291,367425
1292,423225
1293,738675
1294,610650
1295,153000
1296,428850
1297,23400
1298,32625
1299,156375
1300,101250
1301,182700
1302,371700
1303,247950
1304,851400
1305,833625
1306,909450
1307,290925
1308,575100
1309,591750
1310,208800
1311,743625
1312,207225
1313,33075
1314,133650
1315,390375
1316,188325
1317,192600
1318,511875
1319,235575
1320,74475
1321,628425
1322,381150
1323,620100
1324,576900
1325,177525
1326,351225
1327,686700
1328,14400
1329,107550
1330,540675
1331,136125
1332,428625
1333,177750
1334,168975
1335,789075
1336,722700
1337,704250
1338,913725
1339,1019475
1340,902925
1341,333000
1342,934650
1343,766800
1344,828225
1345,707175
1346,487125
1347,800325
1348,481500
1349,371925
1350,532575
1351,482625
1352,62550
1353,282375
1354,474750
1355,177975
1356,71775
1357,96075
1358,601875
1359,585900
1360,251550
1361,245700
1362,101475
1363,165375
1364,675
1365,215550
1366,480150
1367,312750
1368,10575
1369,551925
1370,29025
1371,541350
1372,83925
1373,1125
1374,216225
1375,180675
1376,87525
1377,131850
1378,612675
1379,1029150
1380,711675
1381,933300
